pergunta;resposta_certa;resposta_errada1;resposta_errada2;nivel;tema
Qual é a montanha mais alta do mundo?;Monte Everest;Monte Kilimanjaro;Monte Aconcágua;difícil;geografia
Qual é o maior lago do mundo?;Lago Cáspio;Lago Superior;Lago Vitória;difícil;geografia
Onde está localizado o maior arquipélago do mundo?;Indonésia;Filipinas;Maldivas;difícil;geografia
Qual é o maior país da África?;Argélia;Níger;Nigéria;difícil;geografia
Qual é o nome do estreito que separa a Europa da Ásia?;Estreito de Bósforo;Estreito de Magalhães;Estreito de Gibraltar;difícil;geografia
Onde fica o Lago Titicaca?;Peru e Bolívia;Chile e Argentina;Brasil e Paraguai;difícil;geografia
Qual é a maior ilha do mundo?;Groelândia;Nova Guiné;Borneu;fácil;geografia
Qual é o principal gás responsável pelo efeito estufa?;Dióxido de carbono;Nitrogênio;Oxigênio;fácil;ciências
Qual é a fórmula química da água?;H2O;O2;CO2;fácil;ciências
Quantos ossos tem o corpo humano adulto?;206;201;210;fácil;ciências
O que é a fotossíntese?;Processo pelo qual as plantas produzem seu alimento;Processo de respiração das plantas;Processo de transpiração das plantas;fácil;ciências
Qual é o maior órgão do corpo humano?;Pele;Intestino;Rim;fácil;ciências
O que é a clorofila?;Pigmento responsável pela cor verde das plantas;Substância que produz alimentos;Parte da célula que realiza a respiração;médio;ciências
Qual é a unidade básica da vida?;Célula;Átomo;Molécula;médio;ciências
Quem propôs a teoria da relatividade?;Albert Einstein;Isaac Newton;Galileu Galilei;médio;ciências
O que é um ecossistema?;Conjunto de seres vivos e seu ambiente;Espécie animal;Reino biológico;médio;ciências
Em que parte da célula ocorre a respiração celular?;Mitocôndria;Núcleo;Citoesqueleto;médio;ciências
O que é a biodiversidade?;Variedade de seres vivos em um ambiente;Quantidade de animais;Quantidade de plantas;difícil;ciências
Qual é o nome do processo pelo qual as células se dividem?;Mitose;Meiose;Fissão;difícil;ciências
O que são os glóbulos vermelhos?;Células responsáveis pelo transporte de oxigênio;Células que combatem infecções;Células que formam os ossos;difícil;ciências
Quem é considerado o pai da genética?;Gregor Mendel;Charles Darwin;Louis Pasteur;difícil;ciências
O que é a teoria da evolução das espécies?;Explica a adaptação dos seres vivos ao ambiente;Teoria sobre a criação do universo;Teoria sobre a origem das estrelas;difícil;ciências
O que é a matéria?;Tudo que tem massa e ocupa espaço;Qualquer substância sólida;Substância líquida;difícil;ciências
O que são os átomos?;Partículas que formam a matéria;Células que formam o corpo humano;Partículas que formam as plantas;difícil;ciências
Qual é a função do sistema circulatório?;Transportar sangue e oxigênio para os tecidos;Realizar a digestão dos alimentos;Produzir hormônios;difícil;ciências
Qual é o principal componente do ar?;Nitrogênio;Oxigênio;Dióxido de carbono;fácil;ciências
Qual é o processo que permite o crescimento das plantas?;Germinação;Reprodução;Respiração;fácil;ciências
"Quem é o autor de ""Dom Casmurro""?";Machado de Assis;José de Alencar;Clarice Lispector;fácil;português
"Qual é a classe gramatical da palavra ""feliz""?";Adjetivo;Substantivo;Verbo;fácil;português
O que é um sujeito elíptico?;Sujeito que não está expresso na oração;Sujeito que é explícito;Sujeito que é implícito;fácil;português
Qual a função de um pronome?;Substituir ou acompanhar um substantivo;Conectar orações;Determinar um substantivo;fácil;português
O que é uma oração subordinada?;Oração que depende de outra para fazer sentido;Oração que está sozinha;Oração que não tem sujeito;fácil;português
"Qual é o plural de ""critérios""?";Critérios;Crítérias;Critérios;fácil;português
"Qual é a diferença entre ""mas"" e ""mais""?";"Mas"" é uma conjunção adversativa e ""mais"" é um advérbio de quantidade";"""Mas"" indica tempo e ""mais"" é um adjetivo";"""Mas"" é sinônimo de ""e"" e ""mais"" é sinônimo de ""menos";médio;português
O que é uma antítese?;Uso de palavras de sentidos opostos em um mesmo contexto;"Comparação com o uso de ""como""";Exagero para efeito de estilo;méio;português
O que é uma metáfora?;Comparação implícita entre dois elementos;Exagero;Repetição;médio;português
"Qual é o significado da palavra ""serendipidade""?";Encontrar algo valioso de forma inesperada;Tomar uma decisão sem pensar;Estudar sobre algo com muito afinco;médio;português
O que é uma oração coordenada?;Oração que está subordinada a outra;Oração que se relaciona com outra sem depender dela;Oração que não tem sujeito;médio;português
O que é um verbo transitivo?;Verbo que exige complemento;Verbo que não exige complemento;Verbo que expressa ação;médio;português
"Qual é o significado da palavra ""incólume""?";Sem danos;Que causa danos;Que causa medo;difícil;português
Qual é a função de um advérbio?;Modificar o verbo, substantivo ou adjetivo;Modificar o sujeito;Modificar o objeto;difícil;português
O que é uma oração exclamativa?;Oração que expressa surpresa ou emoção;Oração que expressa dúvida;Oração que faz uma pergunta;difícil;português
"Qual é a diferença entre ""a"" e ""há""?";"""A"" é uma preposição e ""há"" indica tempo passado";"""A"" é verbo e ""há"" é preposição";"""A"" indica tempo futuro e ""há"" indica tempo passado";difícil;português
O que é uma paródia?;Reinterpretação humorística de uma obra;Reinterpretação filosófica de uma obra;Crítica à obra original;difícil;português
O que é uma hipérbole?;Exagero para criar um efeito expressivo;Comparação implícita entre dois elementos;Repetição de palavras;difícil;português
"Qual é a diferença entre ""por que"" e ""porque""?";"""Por que"" é usado em perguntas e ""porque"" é usado para explicações";"""Por que"" é usado para explicar e ""porque"" é usado em perguntas";"""Por que"" é usado para causa e ""porque"" é usado para consequência";difícil;português
Qual é a função do artigo definido?;Determinar ou especificar um substantivo;Indicar uma ação;Descrever uma ação;difícil;português
Quantos meses têm 28 dias?;Todos os meses;2;12;fácil;pegadinhas
O que pesa mais, 1 kg de ferro ou 1 kg de algodão?;Pesam a mesma coisa;Ferro;Algodão;fácil;pegadinhas
Qual é o nome do peixe que é também o nome de uma cidade?;Salmão;Atum;Bacalhau;médio;pegadinhas
"Em que mês as pessoas falam ""Feliz Ano Novo""?";Em janeiro;Em dezembro;Em novembro;médio;pegadinhas
Quantos animais de cada espécie Moisés levou para a arca?;Nenhum, foi Noé quem levou;Dois;Vários;médio;pegadinhas
O que é maior, um metro ou um quilômetro?;Um quilômetro;Um metro;Ambos têm o mesmo tamanho;médio;pegadinhas
Se um avião cai exatamente na divisa entre Brasil e Argentina, onde enterram os sobreviventes?;Não enterram sobreviventes;No Brasil;Na Argentina;médio;pegadinhas
Qual é o nome do navio que afundou na história famosa?;Titanic;Caravela;Santa Maria;difícil;pegadinhas
O que você tem mais, 2 mil ou 2 mil e 1?;Você tem 2 mil e 1;Você tem 2 mil;Ambos têm a mesma quantidade;difícil;pegadinhas
Qual é o animal que anda com a cabeça para baixo?;Canguru;Morcego;Coala;difícil;pegadinhas
Se você tem 5 maçãs e pega 3, com quantas você fica?;Com 3;Com 2;Com 5;difícil;pegadinhas
Qual é o mês do ano que tem 28 dias?;Todos os meses;Fevereiro;Janeiro;difícil;pegadinhas
Em que lugar é impossível viver sem ar?;Na Lua;Na Terra;Em Marte;difícil;pegadinhas
Quantos segundos tem um minuto e meio?;90 segundos;60 segundos;100 segundos;difícil;pegadinhas
Qual é o mês que fica entre outubro e dezembro?;Novembro;Outubro;Dezembro;difícil;pegadinhas
Em que continente se encontra o Brasil?;América do Sul;África;América do Norte;difícil;pegadinhas
Qual é a cor do cavalo branco de Napoleão?;Branco;Preto;Cinza;difícil;pegadinhas
Quanto tempo dura um século?;100 anos;50 anos;200 anos;difícil;pegadinhas
Quantos litros de água cabem em uma garrafa de 1 litro?;1 litro;2 litros;500 ml;difícil;pegadinhas
Qual é o maior número: 0 ou 1?;1;0;Ambos são iguais;difícil;pegadinhas
Se você tem 5 reais e gasta 3, com quantos reais você fica?;Com 2 reais;Com 5 reais;Com 3 reais;fácil;pegadinhas
